CustomerID,CompanyName,ContactName,ContactTitle,Address,City,Region,PostalCode,Country,Phone,Fax
1,Skibox,Deborah Moore,Administrative Officer,7 Killdeer Terrace,Washington,DC,20238,United States,2-(268)634-6419,7-(023)659-8343
2,Twinder,Steven Spencer,Account Representative IV,310 Eastlawn Crossing,Washington,DC,20215,United States,6-(233)029-2677,4-(268)414-5903
3,Innojam,Doris Grant,Desktop Support Technician,523 Burrows Alley,Houston,TX,77245,United States,1-(845)896-0015,3-(660)338-0543
4,Reallinks,Catherine Payne,GIS Technical Architect,17551 Longview Drive,Roanoke,VA,24024,United States,8-(746)940-6865,4-(503)208-8697
5,Jamia,Betty James,Speech Pathologist,58 Southridge Center,Madison,WI,53779,United States,4-(653)704-5449,3-(159)668-6852
6,Thoughtstorm,Alice Patterson,Financial Analyst,3581 Leroy Drive,Montgomery,AL,36177,United States,4-(785)769-4942,6-(908)872-0181
7,Geba,Kelly Johnston,Marketing Assistant,82734 Transport Parkway,Sterling,VA,20167,United States,6-(420)567-2039,5-(036)790-5780
8,Jatri,Amanda Watson,Tax Accountant,2885 Linden Plaza,Athens,GA,30605,United States,1-(016)299-5578,9-(585)204-2791
9,Livefish,William Carter,Structural Analysis Engineer,375 Chive Trail,Washington,DC,20062,United States,1-(483)556-2278,9-(874)863-8044
10,Jayo,Annie King,Geologist IV,261 Linden Street,Baltimore,MD,21275,United States,1-(475)260-3836,4-(281)146-9342
11,Thoughtmix,Patrick Ortiz,Research Nurse,24 Kropf Trail,Garland,TX,75044,United States,4-(447)267-3888,7-(018)203-9376
12,Quinu,Kevin Fowler,Physical Therapy Assistant,02641 Kim Alley,Las Vegas,NV,89115,United States,7-(785)584-1430,0-(987)649-7223
13,Yadel,Alan Stewart,Statistician III,38 Northfield Circle,Austin,TX,78737,United States,5-(893)657-0396,0-(037)182-0665
14,Youopia,Joan Lane,Quality Engineer,963 Homewood Place,Wichita Falls,TX,76310,United States,2-(957)190-0827,0-(845)450-8769
15,Eare,Carlos Duncan,Software Test Engineer I,53189 Arkansas Pass,Ocala,FL,34479,United States,7-(949)319-6998,4-(945)713-0789
16,Aimbu,Helen Edwards,Financial Advisor,8 Raven Circle,Chicago,IL,60681,United States,4-(402)229-8624,8-(244)268-5706
17,Skimia,Ruby Lee,Desktop Support Technician,17 Clemons Junction,Lansing,MI,48919,United States,6-(306)719-8211,2-(845)455-1501
18,Jabbersphere,Daniel Castillo,Assistant Manager,235 Mayer Lane,Des Moines,IA,50320,United States,8-(384)205-0312,0-(227)935-1462
19,Dabtype,Ronald Price,Cost Accountant,23 Moose Hill,Boston,MA,02104,United States,9-(782)144-4023,7-(133)785-9728
20,Kwideo,Emily Baker,Research Nurse,587 Clyde Gallagher Junction,Louisville,KY,40280,United States,0-(279)727-3722,7-(469)609-2166
21,Kamba,Theresa Harvey,Accountant I,75 Hooker Park,Huntington,WV,25705,United States,4-(082)987-1637,9-(919)952-8478
22,Pixoboo,Kathleen Olson,Budget/Accounting Analyst III,4059 Rigney Court,Brooklyn,NY,11254,United States,1-(012)594-3832,1-(383)302-6078
23,Riffwire,Harry Williamson,Legal Assistant,15946 New Castle Center,Alpharetta,GA,30022,United States,1-(644)982-1030,7-(049)981-0584
24,Gabspot,Ronald Armstrong,Account Representative IV,261 Coolidge Center,Wilmington,NC,28410,United States,8-(039)375-1469,0-(593)159-1019
25,Browsecat,Daniel Matthews,Senior Developer,4 Aberg Center,Lawrenceville,GA,30045,United States,6-(690)333-3386,4-(404)052-0563
26,Mynte,Joyce Hart,Senior Editor,18147 Coolidge Way,Syracuse,NY,13210,United States,2-(681)000-1177,1-(846)237-9307
27,Browseblab,Joseph Stone,Assistant Media Planner,3 Grim Avenue,Sacramento,CA,94245,United States,8-(799)598-9103,6-(883)413-3288
28,Zoomcast,Dorothy Dunn,Help Desk Technician,17 Chinook Pass,El Paso,TX,79923,United States,4-(449)619-2074,0-(523)421-8710
29,Kazio,Ryan Hernandez,Senior Financial Analyst,0076 Lunder Junction,Los Angeles,CA,90189,United States,0-(821)465-4570,4-(637)023-6467
30,Gabcube,Angela Roberts,Help Desk Operator,843 Vernon Terrace,New York City,NY,10120,United States,9-(848)521-7100,9-(925)362-7572
31,Quatz,Margaret Kelly,Developer II,5157 Utah Place,El Paso,TX,79945,United States,8-(236)645-1673,1-(743)569-2859
32,Izio,Barbara Peters,Payment Adjustment Coordinator,4 Crowley Center,Tulsa,OK,74193,United States,9-(507)609-0033,2-(941)665-3517
33,Browsetype,Douglas Lopez,Administrative Assistant IV,31 Bashford Pass,Las Vegas,NV,89160,United States,3-(073)550-7176,8-(197)940-8833
34,Skajo,Cynthia Riley,Budget/Accounting Analyst III,96542 Farragut Terrace,Appleton,WI,54915,United States,0-(642)179-6936,5-(996)305-1665
35,Oloo,Kathryn Armstrong,Desktop Support Technician,6 Pleasure Plaza,Washington,DC,20392,United States,8-(466)460-4225,9-(350)895-6517
36,Fadeo,Roy Martinez,Junior Executive,87924 Di Loreto Alley,Brooklyn,NY,11247,United States,2-(661)138-4970,7-(875)629-8317
37,Meeveo,Benjamin Reynolds,Food Chemist,3 Holy Cross Circle,Pittsburgh,PA,15205,United States,2-(213)306-7578,0-(990)169-8273
38,Twinder,Sarah Washington,Help Desk Operator,22 Texas Point,Delray Beach,FL,33448,United States,8-(129)973-7466,5-(818)649-0587
39,Wikivu,Harold Reid,Financial Analyst,602 Bluestem Court,Memphis,TN,38126,United States,2-(832)211-1656,6-(172)374-5037
40,Digitube,Rachel Medina,Account Executive,18298 Grayhawk Park,Houston,TX,77075,United States,7-(279)652-7138,7-(168)216-4675
41,DabZ,Marilyn Snyder,Project Manager,132 Sauthoff Way,Denver,CO,80241,United States,6-(905)552-1975,6-(941)574-1110
